X,Y,OBJECTID,COMPKEY,COMPTYPE,SEGKEY,DISTANCE,WIDTH,UNITID,UNITTYPE,UNITDESC,BIKE_FACILITY,RACK_CAPACITY,DELINEATOR_POSTS,FINISH_TYPE,SURFACE_TYPE,INSTALL_DATE,MOUNT_TYPE,COLOR,MANUFACTURER,MODEL_TYPE,CONDITION,CONDITION_ASSESSMENT_DATE,SIDE,OWNERSHIP,CURRENT_STATUS,PRIMARYDISTRICTCD,SECONDARYDISTRICTCD,OVERRIDEYN,OVERRIDECOMMENT,SHAPE_LNG,SHAPE_LAT
1270463.12900975,224210.01109764,3470,516802,16,4377,228,-35,BKR-1340,BKR,3RD AVE 0080 BLOCK NE SIDE ( 212) 56 FT SE/O MARION ST                                                                                                                                                                                                         ,SGL,2,N,GALV,PCC,,SUFMT,NONE,BKR-CRMTL,BKR-RLRCK,GOOD,,NE,SDOT,INSVC,DISTRICT7, ,N,,-122.33307951993,47.604779126317
1271795.13675511,222575.536855966,3471,518527,16,7357,184,27,BKR-1307,BKR,5TH AVE S 0020 BLOCK E SIDE ( 157) 102 FT N/O S MAIN ST                                                                                                                                                                                                        ,SGL,2,N,GALV,PCC,,SUFMT,NONE,BKR-CRMTL,BKR-RLRCK,GOOD,,E,SDOT,INSVC,DISTRICT2, ,N,,-122.327552447862,47.6003701082839
1257141.2834921,216089.212753326,3472,518367,16,9539,437,29,BKR-2413,BKR,CALIFORNIA AVE SW 0230 BLOCK E SIDE ( 407) 190 FT N/O SW ADMIRAL WAY                                                                                                                                                                                           ,SGL,2,N,GALV,PCC,,SUFMT,NONE,BKR-CRMTL,BKR-RLRCK,GOOD,2009/08/06 00:00:00+00,E,SDOT,INSVC,DISTRICT1, ,N,,-122.38640594373,47.5817960637099
1263855.00721098,241006.03837885,3473,741766,16,23085,82,-16,BKR-4254,BKR,W BERTONA ST 0030 BLOCK N SIDE (  70) 70 FT W/O 3RD AVE W                                                                                                                                                                                                      ,ONSDW,6,N,GALV,PCC,, , , , , ,,N, , ,DISTRICT7, ,N,,-122.361212709231,47.6504599947423
1290756.50823054,189729.791478336,3474,517082,16,8147,108,17,BKR-1006,BKR,68TH AVE S 1000 BLOCK E SIDE (  95) 95 FT S/O RAINIER AVE S                                                                                                                                                                                                    ,SGL,2,N,GALV,PCC,2009/02/27 00:00:00+00,SUFMT,NONE,BKR-CRMTL,BKR-INVRU,GOOD,2009/08/11 00:00:00+00,E,SDOT,INSVC,DISTRICT2, ,N,,-122.248262079127,47.51132232457
1270260.01636954,231299.094688907,3475,730244,16,10349,379,44,BKR-4139,BKR,FAIRVIEW AVE N 0050 BLOCK W SIDE ( 356) 0 FT S/O MERCER S SR ST                                                                                                                                                                                                ,CLSTR,4,N,GALV,PCC,, , , ,BKR-INVRU,GOOD,,W,SDOT,INSVC,DISTRICT7, ,N,,-122.334463207738,47.6241992239565
1276181.47941561,226760.971868262,3476,518796,16,2363,195,-17,BKR-1855,BKR,17TH AVE 0110 BLOCK E SIDE ( 182) 182 FT N/O E SPRING ST                                                                                                                                                                                                       ,SGL,2,N,GALV,PCC,2008/03/17 00:00:00+00,SUFMT,NONE,BKR-CRMTL,BKR-RLRCK,GOOD,2009/07/23 00:00:00+00,E,SDOT,INSVC,DISTRICT3, ,N,,-122.310102185333,47.6120744048567
1267445.33470266,228112.353117645,3477,606488,16,4390,300.5,-33,BKR-3327,BKR,3RD AVE 0230 BLOCK NE SIDE (277.) 106 FT SE/O BATTERY ST                                                                                                                                                                                                       ,SGL,4,N,GALV,PCC,2013/11/01 00:00:00+00, , , , , ,,NE,SDOT, ,DISTRICT7, ,N,,-122.345620985228,47.6153134136021
1268860.31806411,225525.835034996,3478,516764,16,1008,221,30,BKR-1281,BKR,1ST AVE 0140 BLOCK SW SIDE ( 208) 182 FT SE/O PIKE ST                                                                                                                                                                                                          ,SGL,2,N,GALV,PCC,,SUFMT,NONE,BKR-CRMTL,BKR-RLRCK,GOOD,,SW,SDOT,INSVC,DISTRICT7, ,N,,-122.339679860614,47.6082999404381
1272740.16645208,210710.165899828,3479,519299,16,8680,64,-30,BKR-2241,BKR,AIRPORT WAY S 0400 BLOCK W SIDE (  41) 41 FT S/O S ANDOVER ST                                                                                                                                                                                                  ,SGL,2,N,GALV,PCC,,SUFMT,NONE,BKR-CRMTL,BKR-RLRCK,GOOD,2009/08/05 00:00:00+00,W,SDOT,INSVC,DISTRICT2, ,N,,-122.322791926934,47.5678976341555
